TMU ID, Legacy TMU ID, Site Name
C6E971CAD153789BE0433CC411ACCCEA,30014526,TMU Site 9797/2 on link A1 southbound within the A69 junction; GPS Ref: 419781;565757; Southbound

Local Date, Local Time, Day Type ID, Total Carriageway Flow, Total Flow vehicles less than 5.2m, Total Flow vehicles 5.21m - 6.6m, Total Flow vehicles 6.61m - 11.6m, Total Flow vehicles above 11.6m, Speed Value, Quality Index, Network Link Id, NTIS Model Version
2020-02-01,00:14:00,5,76,58,6,6,6,99.77,15,120011502,11
2020-02-01,00:29:00,5,39,31,1,3,4,94.67,15,120011502,11
2020-02-01,00:44:00,5,38,34,1,0,3,102.92,15,120011502,11
2020-02-01,00:59:00,5,33,25,1,3,4,101.88,15,120011502,11
2020-02-01,01:14:00,5,33,28,1,1,3,99.63,15,120011502,11
2020-02-01,01:29:00,5,37,33,0,1,3,102.41,15,120011502,11
2020-02-01,01:44:00,5,27,23,1,0,3,95.91,15,120011502,11
2020-02-01,01:59:00,5,25,18,3,0,4,102.12,15,120011502,11
2020-02-01,02:14:00,5,12,10,0,0,2,100.07,15,120011502,11
2020-02-01,02:29:00,5,22,11,1,3,7,92.06,15,120011502,11
2020-02-01,02:44:00,5,13,8,0,2,3,93.06,15,120011502,11
2020-02-01,02:59:00,5,25,15,4,3,3,98.50,15,120011502,11
2020-02-01,03:14:00,5,26,18,3,1,4,97.43,15,120011502,11
2020-02-01,03:29:00,5,23,16,3,1,3,97.76,15,120011502,11
2020-02-01,03:44:00,5,25,16,1,3,5,102.34,15,120011502,11
2020-02-01,03:59:00,5,19,14,3,0,2,99.34,15,120011502,11
2020-02-01,04:14:00,5,33,24,2,3,4,95.58,15,120011502,11
2020-02-01,04:29:00,5,34,26,5,0,3,102.54,15,120011502,11
2020-02-01,04:44:00,5,29,21,3,3,2,97.94,15,120011502,11
2020-02-01,04:59:00,5,59,48,5,3,3,103.11,15,120011502,11
2020-02-01,05:14:00,5,52,46,1,0,5,102.21,15,120011502,11
2020-02-01,05:29:00,5,59,49,1,6,3,97.89,15,120011502,11
2020-02-01,05:44:00,5,88,78,3,3,4,103.51,15,120011502,11
2020-02-01,05:59:00,5,103,92,8,1,2,102.13,15,120011502,11
2020-02-01,06:14:00,5,123,106,7,5,5,103.79,15,120011502,11
2020-02-01,06:29:00,5,133,119,6,3,5,102.24,15,120011502,11
2020-02-01,06:44:00,5,159,131,15,8,5,102.19,15,120011502,11
2020-02-01,06:59:00,5,196,162,21,7,6,102.51,15,120011502,11
2020-02-01,07:14:00,5,220,190,13,10,7,101.20,15,120011502,11
2020-02-01,07:29:00,5,235,203,13,11,8,99.47,15,120011502,11
2020-02-01,07:44:00,5,249,214,21,11,3,102.97,15,120011502,11
2020-02-01,07:59:00,5,268,238,16,10,4,103.35,15,120011502,11
2020-02-01,08:14:00,5,294,264,12,8,10,104.67,15,120011502,11
2020-02-01,08:29:00,5,372,335,23,10,4,101.69,15,120011502,11
2020-02-01,08:44:00,5,448,420,9,12,7,103.78,15,120011502,11
2020-02-01,08:59:00,5,442,411,14,8,9,101.95,15,120011502,11
2020-02-01,09:14:00,5,407,377,17,7,6,100.94,15,120011502,11
2020-02-01,09:29:00,5,479,446,17,10,6,97.63,15,120011502,11
2020-02-01,09:44:00,5,548,511,23,6,8,100.46,15,120011502,11
2020-02-01,09:59:00,5,556,516,26,8,6,99.66,15,120011502,11
2020-02-01,10:14:00,5,577,542,16,9,10,98.70,15,120011502,11
