Local Date, Local Time, Day Type ID, NTIS Link Number, Road, Carriageway, NTIS Link Description, NTIS Model Version, Link Length, Start Node Coordinates, End Node Coordinates, Total Traffic Flow, Profile Traffic Flow, Traffic Flow %value1, Traffic Flow %value2, Traffic Flow %value3, Traffic Flow %value4, Flow Quality, Fused Travel Time, Profile Travel Time, Fused Average Speed, Quality Index
2020-01-09,06:29:42,3,120014302,A1,entrySlipRoad,A1 northbound access at a minor junction between A167 near Washington Birtley and A692,1.00,402.73798,54.920707478275297 ; -1.612915462735710,54.921472708741298 ; -1.619039785342490,,,,,,,0,19.55,20.00,75.36,11
2020-01-09,07:29:52,3,120014302,A1,entrySlipRoad,A1 northbound access at a minor junction between A167 near Washington Birtley and A692,1.00,402.73798,54.920707478275297 ; -1.612915462735710,54.921472708741298 ; -1.619039785342490,,,,,,,0,21.00,21.67,68.00,6
2020-01-09,07:44:51,3,120014302,A1,entrySlipRoad,A1 northbound access at a minor junction between A167 near Washington Birtley and A692,1.00,402.73798,54.920707478275297 ; -1.612915462735710,54.921472708741298 ; -1.619039785342490,,,,,,,0,23.40,23.00,62.27,15
2020-01-09,08:14:28,3,120014302,A1,entrySlipRoad,A1 northbound access at a minor junction between A167 near Washington Birtley and A692,1.00,402.73798,54.920707478275297 ; -1.612915462735710,54.921472708741298 ; -1.619039785342490,,,,,,,0,23.62,23.33,61.77,13
2020-01-09,08:29:26,3,120014302,A1,entrySlipRoad,A1 northbound access at a minor junction between A167 near Washington Birtley and A692,1.00,402.73798,54.920707478275297 ; -1.612915462735710,54.921472708741298 ; -1.619039785342490,,,,,,,0,20.88,23.00,69.13,7
2020-01-09,08:44:58,3,120014302,A1,entrySlipRoad,A1 northbound access at a minor junction between A167 near Washington Birtley and A692,1.00,402.73798,54.920707478275297 ; -1.612915462735710,54.921472708741298 ; -1.619039785342490,,,,,,,0,19.13,23.00,76.13,13
2020-01-09,09:13:59,3,120014302,A1,entrySlipRoad,A1 northbound access at a minor junction between A167 near Washington Birtley and A692,1.00,402.73798,54.920707478275297 ; -1.612915462735710,54.921472708741298 ; -1.619039785342490,,,,,,,0,22.40,23.00,65.00,14
2020-01-09,09:29:53,3,120014302,A1,entrySlipRoad,A1 northbound access at a minor junction between A167 near Washington Birtley and A692,1.00,402.73798,54.920707478275297 ; -1.612915462735710,54.921472708741298 ; -1.619039785342490,,,,,,,0,25.00,24.00,58.07,15
2020-01-09,09:44:53,3,120014302,A1,entrySlipRoad,A1 northbound access at a minor junction between A167 near Washington Birtley and A692,1.00,402.73798,54.920707478275297 ; -1.612915462735710,54.921472708741298 ; -1.619039785342490,,,,,,,0,22.33,24.00,65.27,15
2020-01-09,13:59:52,3,120014302,A1,entrySlipRoad,A1 northbound access at a minor junction between A167 near Washington Birtley and A692,1.00,402.73798,54.920707478275297 ; -1.612915462735710,54.921472708741298 ; -1.619039785342490,,,,,,,0,20.00,20.67,72.00,10
2020-01-09,14:59:55,3,120014302,A1,entrySlipRoad,A1 northbound access at a minor junction between A167 near Washington Birtley and A692,1.00,402.73798,54.920707478275297 ; -1.612915462735710,54.921472708741298 ; -1.619039785342490,,,,,,,0,22.00,20.67,66.00,7
2020-01-09,15:44:55,3,120014302,A1,entrySlipRoad,A1 northbound access at a minor junction between A167 near Washington Birtley and A692,1.00,402.73798,54.920707478275297 ; -1.612915462735710,54.921472708741298 ; -1.619039785342490,,,,,,,0,22.00,22.00,66.00,0
2020-01-09,16:44:32,3,120014302,A1,entrySlipRoad,A1 northbound access at a minor junction between A167 near Washington Birtley and A692,1.00,402.73798,54.920707478275297 ; -1.612915462735710,54.921472708741298 ; -1.619039785342490,,,,,,,0,21.00,21.00,69.00,0
