Local Date, Local Time, Day Type ID, NTIS Link Number, Road, Carriageway, NTIS Link Description, NTIS Model Version, Link Length, Start Node Coordinates, End Node Coordinates, Total Traffic Flow, Profile Traffic Flow, Traffic Flow %value1, Traffic Flow %value2, Traffic Flow %value3, Traffic Flow %value4, Flow Quality, Fused Travel Time, Profile Travel Time, Fused Average Speed, Quality Index
2020-02-06,05:59:51,3,120011502,A1,mainCarriageway,A1 southbound within the A69 junction,1.00,758.12920,54.987958554300398 ; -1.690033341141150,54.982078373538499 ; -1.695938266037430,194,200,85.00,7.00,4.00,4.00,15,24.87,27.00,109.27,15
2020-02-06,06:14:52,3,120011502,A1,mainCarriageway,A1 southbound within the A69 junction,1.00,758.12920,54.987958554300398 ; -1.690033341141150,54.982078373538499 ; -1.695938266037430,199,265,86.00,6.00,3.00,5.00,15,28.27,26.33,97.87,15
2020-02-06,06:29:53,3,120011502,A1,mainCarriageway,A1 southbound within the A69 junction,1.00,758.12920,54.987958554300398 ; -1.690033341141150,54.982078373538499 ; -1.695938266037430,313,345,88.00,5.00,3.00,4.00,15,26.07,26.33,104.53,15
2020-02-06,06:44:54,3,120011502,A1,mainCarriageway,A1 southbound within the A69 junction,1.00,758.12920,54.987958554300398 ; -1.690033341141150,54.982078373538499 ; -1.695938266037430,403,475,85.00,7.00,5.00,3.00,15,26.00,27.33,105.40,15
2020-02-06,06:59:27,3,120011502,A1,mainCarriageway,A1 southbound within the A69 junction,1.00,758.12920,54.987958554300398 ; -1.690033341141150,54.982078373538499 ; -1.695938266037430,618,615,89.00,7.00,2.00,2.00,15,28.40,29.00,96.53,15
2020-02-06,07:14:57,3,120011502,A1,mainCarriageway,A1 southbound within the A69 junction,1.00,758.12920,54.987958554300398 ; -1.690033341141150,54.982078373538499 ; -1.695938266037430,793,720,91.00,5.00,2.00,2.00,15,31.47,32.33,86.60,15
2020-02-06,07:29:31,3,120011502,A1,mainCarriageway,A1 southbound within the A69 junction,1.00,758.12920,54.987958554300398 ; -1.690033341141150,54.982078373538499 ; -1.695938266037430,897,780,89.00,7.00,2.00,2.00,15,44.87,36.00,61.80,15
2020-02-06,07:44:33,3,120011502,A1,mainCarriageway,A1 southbound within the A69 junction,1.00,758.12920,54.987958554300398 ; -1.690033341141150,54.982078373538499 ; -1.695938266037430,821,795,93.00,4.00,1.00,2.00,15,55.20,38.67,49.47,15
2020-02-06,07:59:32,3,120011502,A1,mainCarriageway,A1 southbound within the A69 junction,1.00,758.12920,54.987958554300398 ; -1.690033341141150,54.982078373538499 ; -1.695938266037430,838,790,90.00,5.00,3.00,2.00,15,46.87,38.67,61.93,15
2020-02-06,08:14:31,3,120011502,A1,mainCarriageway,A1 southbound within the A69 junction,1.00,758.12920,54.987958554300398 ; -1.690033341141150,54.982078373538499 ; -1.695938266037430,853,800,91.00,5.00,3.00,1.00,15,33.00,36.67,82.60,15
2020-02-06,08:29:36,3,120011502,A1,mainCarriageway,A1 southbound within the A69 junction,1.00,758.12920,54.987958554300398 ; -1.690033341141150,54.982078373538499 ; -1.695938266037430,832,790,91.00,4.00,3.00,2.00,15,30.87,34.00,88.20,15
2020-02-06,08:44:35,3,120011502,A1,mainCarriageway,A1 southbound within the A69 junction,1.00,758.12920,54.987958554300398 ; -1.690033341141150,54.982078373538499 ; -1.695938266037430,868,765,87.00,7.00,4.00,2.00,15,31.47,32.67,86.07,15
2020-02-06,08:59:33,3,120011502,A1,mainCarriageway,A1 southbound within the A69 junction,1.00,758.12920,54.987958554300398 ; -1.690033341141150,54.982078373538499 ; -1.695938266037430,769,720,88.00,5.00,5.00,2.00,15,30.60,31.33,89.33,15
2020-02-06,09:14:35,3,120011502,A1,mainCarriageway,A1 southbound within the A69 junction,1.00,758.12920,54.987958554300398 ; -1.690033341141150,54.982078373538499 ; -1.695938266037430,661,690,86.00,8.00,4.00,2.00,15,31.47,30.67,86.47,15
2020-02-06,09:29:34,3,120011502,A1,mainCarriageway,A1 southbound within the A69 junction,1.00,758.12920,54.987958554300398 ; -1.690033341141150,54.982078373538499 ; -1.695938266037430,680,650,84.00,7.00,5.00,4.00,15,30.93,30.00,88.20,15
2020-02-06,09:44:33,3,120011502,A1,mainCarriageway,A1 southbound within the A69 junction,1.00,758.12920,54.987958554300398 ; -1.690033341141150,54.982078373538499 ; -1.695938266037430,676,625,85.00,8.00,4.00,3.00,15,31.00,30.00,88.00,15
2020-02-06,09:59:31,3,120011502,A1,mainCarriageway,A1 southbound within the A69 junction,1.00,758.12920,54.987958554300398 ; -1.690033341141150,54.982078373538499 ; -1.695938266037430,620,610,84.00,9.00,4.00,3.00,15,29.80,30.00,91.67,15
2020-02-06,10:06:32,3,120011502,A1,mainCarriageway,A1 southbound within the A69 junction,1.00,758.12920,54.987958554300398 ; -1.690033341141150,54.982078373538499 ; -1.695938266037430,624,590,83.00,6.00,7.00,4.00,5,29.00,30.00,94.00,5
